Year,University,uni_code,demre_code,degree
2004,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,UC,1239,INGENIER페
2005,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,UC,1239,INGENIER페
2006,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,UC,1239,INGENIER페
2007,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,UC,1239,INGENIER페
2008,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,UC,1239,INGENIERIA
2009,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,UC,1239,INGENIERIA
2010,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,UC,1239,INGENIERIA
2011,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,UC,1239,INGENIERIA
2012,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,UC,12039,INGENIERIA
2013,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,UC,12039,INGENIERIA
2014,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,UC,12039,INGENIERIA
2015,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,UC,12039,INGENIERIA
2016,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,UC,12039,INGENIERIA
2017,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,UC,12039,INGENIERIA
